Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-21T08:45:00.000-05:00,0,18129211,55,0,Mississauga,Ontario
16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-18T09:56:00.000-05:00,2,18046246,53,0.037735849,Saguenay,Quebec
16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-19T09:58:00.000-05:00,0,18046246,53,0,Saguenay,Quebec
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-21T08:06:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-21T08:07:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-21T08:08:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-21T11:00:00.000-05:00,1,18129209,44,0.022727273,Ottawa,Ontario
1f129390-03f2-429b-abc6-66cfee9bf519,2019-02-21T12:54:00.000-04:00,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick
e252569c-3a8f-4ee0-850b-34aa38011db4,2019-02-21T09:00:00.000-08:00,2,18129253,45,0.044444444,Coquitlam,British Columbia
1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-21T09:21:00.000-08:00,1,18051404,58,0.017241379,Chilliwack,British Columbia
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-21T12:40:00.000-05:00,2,16260124,46,0.043478261,Strathroy,Ontario
3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-28T14:22:00.000-04:00,13,18046221,53,0.24,Montreal,Quebec
63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-21T15:17:00.000-03:30,2,18051415,54,0.037037037,Channel-Port Aux Basques,Newfoundland and Labrador
849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-21T14:21:00.000-05:00,1,18051442,61,0.0163934,Deep River,Ontario
9dde2b0e-a95b-4421-9c49-bca65602dc63,2019-02-21T11:31:00.000-08:00,1,18130228,48,0.020833333,Tsawwassen,British Columbia
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-21T12:33:00.000-07:00,0,18051351,56,0,Whitecourt,Alberta
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-18T02:09:00.000-05:00,3,18129115,49,0.06122449,Port Dover,Ontario
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-19T02:10:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-20T02:10:00.000-05:00,3,18129115,49,0.06122449,Port Dover,Ontario
4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-21T02:10:00.000-05:00,6,18129115,49,0.12244898,Port Dover,Ontario
c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-02-21T15:00:00.000-05:00,0,18051426,45,0,Eganville,Ontario
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-19T12:00:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-20T11:30:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-21T15:30:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-21T15:00:00.000-07:00,2,18129247,53,0.037735849,Calgary,Alberta
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-22T07:45:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-22T07:46:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-22T07:48:00.000-05:00,1,18051554,47,0.021276596,Longueuil,Quebec
959484ae-c895-403a-83df-59404e44b9f6,2019-02-22T08:25:00.000-05:00,1,17170336,56,0.01785714,Petawawa,Ontario
d9e458d6-b7ce-4bf1-8ba3-62958a948c59,2019-02-22T08:43:00.000-05:00,1,18051343,52,0.019230769,Trenton,Ontario
e053901a-f834-44f5-93d0-e2b88c9b7cdc,2019-02-20T11:00:00.000-08:00,1,18130214,57,0.01754386,Vancouver,British Columbia
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-22T12:37:00.000-05:00,1,18129243,51,0.02,Ottawa,Ontario
849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-22T14:19:00.000-05:00,2,18051442,61,0.0327868,Deep River,Ontario
63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-22T16:12:00.000-03:30,0,18051415,54,0,Channel-Port Aux Basques,Newfoundland and Labrador
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-22T13:58:00.000-07:00,0,18051351,56,0,Whitecourt,Alberta
c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-02-22T15:05:00.000-05:00,0,18051426,45,0,Eganville,Ontario
9d9924b4-8e45-4b09-aa40-12c9554f5170,2019-02-21T22:00:00.000-05:00,0,18129417,47,0,Toronto,Ontario
9d9924b4-8e45-4b09-aa40-12c9554f5170,2019-02-22T10:40:00.000-05:00,0,18129417,47,0,Toronto,Ontario
e053901a-f834-44f5-93d0-e2b88c9b7cdc,2019-02-21T14:00:00.000-08:00,0,18130214,57,0,Vancouver,British Columbia
bc5c0816-cf09-4c78-a7fd-32583f0c34ed,2019-02-22T22:28:00.000-05:00,0,18051432,48,0,Ottawa,Ontario
2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-23T08:02:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
df5eceb7-3194-4e9a-86e0-b5e9f1ac8413,2019-02-23T08:02:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
6648c712-0630-4539-af6d-f59cd463ae54,2019-02-23T08:03:00.000-05:00,0,18051554,47,0,Longueuil,Quebec
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-23T16:05:00.000-07:00,1,18051351,56,0.017857143,Whitecourt,Alberta
807d5dcd-3485-4f3c-87e4-ae51dd391dd6,2019-02-20T10:07:00.000-07:00,3,18130311,52,0.057692308,Calgary,Alberta
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-23T19:09:00.000-05:00,2,18129243,51,0.04,Ottawa,Ontario
