Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory,,Calculated Exposure Day 7
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/17/2019,15,18046221,53,0.28,Montreal,Quebec,,0.28
3c60c77a-a9f5-4e56-a425-e3c187faf59e,4/26/2019,23,18046221,53,0.43,Montreal,Quebec,,
46a5c76c-1cd9-477a-aca0-fe6c8de69284,1/29/2019,3,18130340,44,0.068182,Kelowna,British Columbia,,
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2/22/2019,1,18129243,51,0.02,Ottawa,Ontario,,
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2/23/2019,2,18129243,51,0.04,Ottawa,Ontario,,
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2/24/2019,1,18129243,51,0.02,Ottawa,Ontario,,
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2/26/2019,1,18129243,51,0.02,Ottawa,Ontario,,
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2/27/2019,2,18129243,51,0.04,Ottawa,Ontario,,0.05
4cbad0d3-9069-474f-93ad-0582c6930118,2/18/2019,3,18129115,49,0.06122449,Port Dover,Ontario,,
4cbad0d3-9069-474f-93ad-0582c6930118,2/19/2019,4,18129115,49,0.081632653,Port Dover,Ontario,,
4cbad0d3-9069-474f-93ad-0582c6930118,2/20/2019,3,18129115,49,0.06122449,Port Dover,Ontario,,
4cbad0d3-9069-474f-93ad-0582c6930118,2/21/2019,6,18129115,49,0.12244898,Port Dover,Ontario,,
4cbad0d3-9069-474f-93ad-0582c6930118,2/22/2019,3,18129115,49,0.06122449,Port Dover,Ontario,,
4cbad0d3-9069-474f-93ad-0582c6930118,2/23/2019,1,18129115,49,0.020408163,Port Dover,Ontario,,0.12244898
4cbad0d3-9069-474f-93ad-0582c6930118,2/24/2019,16,18129115,49,0.326531,Port Dover,Ontario,,
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2/19/2019,1,18130212,49,0.020408163,East Angus,Quebec,,
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2/20/2019,2,18130212,49,0.040816327,East Angus,Quebec,,
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2/22/2019,3,18130212,49,0.06122449,East Angus,Quebec,,
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2/23/2019,1,18130212,49,0.020408163,East Angus,Quebec,,0.06122449
4f2d7442-d915-4040-ac04-d43462aac4e8,3/21/2019,2,18046241,48,0.04166667,Ottawa,Ontario,,
4f2d7442-d915-4040-ac04-d43462aac4e8,3/28/2019,1,18046241,48,0.02083333,Ottawa,Ontario,,0.04166667
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2/19/2019,3,18051351,56,0.053571429,Whitecourt,Alberta,,
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2/23/2019,1,18051351,56,0.017857143,Whitecourt,Alberta,,
51d30129-a05c-4cf8-bc1e-4410c6257e0c,2/26/2019,1,18051351,56,0.0179,Whitecourt,Alberta,,0.0179
5439cc11-1709-44a8-bdd6-ad7d16dced39,4/3/2019,4,18046241,48,0.0833333,Ottawa,Ontario,,
56389f81-1962-4add-9138-c292f7e5a132,2/19/2019,1,18130212,49,0.020408163,East Angus,Quebec,,
5835cc3e-f112-498b-a1ae-e546aa138c0c,2/19/2019,3,1805135,50,0.06,Lindsay,Ontario,,
5a5e5c22-4a36-476d-b442-6d750f831c76,3/6/2019,3,18051323,49,0.061,Kleinburg,Ontario,,
5a5e5c22-4a36-476d-b442-6d750f831c76,3/7/2019,3,18051323,49,0.061,Kleinburg,Ontario,,
5a5e5c22-4a36-476d-b442-6d750f831c76,3/20/2019,3,18051323,49,0.061,Kleinburg,Ontario,,
5a5e5c22-4a36-476d-b442-6d750f831c76,3/21/2019,3,18051323,49,0.061,Kleinburg,Ontario,,
5a5e5c22-4a36-476d-b442-6d750f831c76,3/27/2019,4,18051323,49,0.081,Kleinburg,Ontario,,0.081
5a5e5c22-4a36-476d-b442-6d750f831c76,3/29/2019,5,18051323,49,0.102,Kleinburg,Ontario,,
